mineral water,milk,energy bar,whole wheat rice,green tea
low fat yogurt ,,eggs,,
whole wheat pasta,french fries,,,cooking oil
soup,light cream,shallot,chicken,
frozen vegetables ,spaghetti,green tea,,
french fries,,,low fat yogurt,
eggs,pet food,black tea,,
cookies,,extra dark chocolate,,
turkey,burgers,mineral water,eggs,cooking oil
spaghetti,champagne,cookies,,
mineral water ,salmon,,,
mineral water ,,salmon,,
shrimp,chocolate,chicken,honey,oil
turkey,eggs,,,
turkey,fresh tuna,tomatoes,spaghetti,mineral water
meatballs,milk,honey,french fries,protien bar
